Province,ProvinceCode,District,DistrictCode,FullName,Lat,Lon
Kırşehir,40,Çiçekdağı,1254,"Çiçekdağı, Kırşehir",39.589548,34.321400
Kastamonu,37,Cide,1221,"Cide, Kastamonu",41.892221,33.003700
Eskişehir,26,Çifteler,1255,"Çifteler, Eskişehir",39.382000,31.040800
Niğde,51,Çiftlik,1904,"Çiftlik, Niğde",38.181164,34.552800
Yalova,77,Çiftlikköy,2022,"Çiftlikköy, Yalova",40.662748,29.315300
İzmir,35,Çiğli,2007,"Çiğli, İzmir",38.494025,26.961700
Konya,42,Cihanbeyli,1222,"Cihanbeyli, Konya",38.656883,32.923300
Ardahan,75,Çıldır,1252,"Çıldır, Ardahan",41.119467,43.123800
Düzce,81,Çilimli,1905,"Çilimli, Düzce",40.895106,31.041600
Diyarbakır,21,Çınar,1253,"Çınar, Diyarbakır",37.668469,40.272200
Yalova,77,Çınarcık,2021,"Çınarcık, Yalova",40.645156,29.119200
Aydın,9,Çine,1256,"Çine, Aydın",37.614081,28.061100
Denizli,20,Çivril,1257,"Çivril, Denizli",38.302120,29.740300
Şırnak,73,Cizre,1223,"Cizre, Şırnak",37.332346,42.185500
Afyonkarahisar,3,Çobanlar,1906,"Çobanlar, Afyonkarahisar",38.701468,30.781500
Tekirdağ,59,Çorlu,1258,"Çorlu, Tekirdağ",41.155812,27.813700
Çorum,19,Çorum Merkez,1259,"Çorum Merkez, Çorum",40.549926,34.953700
Ankara,6,Çubuk,1260,"Çubuk, Ankara",40.295020,33.070700
Hakkari,30,Çukurca,1261,"Çukurca, Hakkari",37.293709,43.671200
Adana,1,Çukurova,2033,"Çukurova, Adana",37.098970,35.148900
Düzce,81,Cumayeri,1784,"Cumayeri, Düzce",40.873338,30.950800
Konya,42,Çumra,1262,"Çumra, Konya",37.573899,32.781000
Diyarbakır,21,Çüngüş,1263,"Çüngüş, Diyarbakır",38.268644,39.329600
Kastamonu,37,Daday,1264,"Daday, Kastamonu",41.477626,33.469200
Muğla,48,Dalaman,1742,"Dalaman, Muğla",36.766620,28.800000
Ardahan,75,Damal,2008,"Damal, Ardahan",41.339617,42.839500
Malatya,44,Darende,1265,"Darende, Malatya",38.556664,37.490600
Mardin,47,Dargeçit,1787,"Dargeçit, Mardin",37.546184,41.720400
Kocaeli,41,Darıca,2060,"Darıca, Kocaeli",40.773863,29.400300
Muğla,48,Datça,1266,"Datça, Muğla",36.726217,27.685800
Afyonkarahisar,3,Dazkırı,1267,"Dazkırı, Afyonkarahisar",37.952444,29.835200
Hatay,31,Defne,2082,"Defne, Hatay",36.164308,36.111100
Kırıkkale,71,Delice,1268,"Delice, Kırıkkale",40.000129,33.973900
Manisa,45,Demirci,1269,"Demirci, Manisa",39.047336,28.658500
Kırklareli,39,Demirköy,1270,"Demirköy, Kırklareli",41.822618,27.762800
Bayburt,69,Demirözü,1788,"Demirözü, Bayburt",40.162535,39.892800
Antalya,7,Demre,1811,"Demre, Antalya",36.244444,29.987500
Denizli,20,Denizli Merkez,1271,"Denizli Merkez, Denizli",37.783016,29.096300
Konya,42,Derbent,1907,"Derbent, Konya",38.013432,32.015300
Konya,42,Derebucak,1789,"Derebucak, Konya",37.400176,31.491300
Giresun,28,Dereli,1272,"Dereli, Giresun",40.739918,38.449400
Rize,53,Derepazarı,1908,"Derepazarı, Rize",41.023980,40.421800
Mardin,47,Derik,1273,"Derik, Mardin",37.364657,40.267900
Kocaeli,41,Derince,2030,"Derince, Kocaeli",40.756189,29.830900
Nevşehir,50,Derinkuyu,1274,"Derinkuyu, Nevşehir",38.374548,34.733400
Trabzon,61,Dernekpazarı,1909,"Dernekpazarı, Trabzon",40.799118,40.247800
Kayseri,38,Develi,1275,"Develi, Kayseri",38.388652,35.492800
Zonguldak,67,Devrek,1276,"Devrek, Zonguldak",41.221412,31.954500
Kastamonu,37,Devrekani,1277,"Devrekani, Kastamonu",41.603891,33.835200
Diyarbakır,21,Dicle,1278,"Dicle, Diyarbakır",38.373308,40.075600
Aydın,9,Didim,2000,"Didim, Aydın",37.376094,27.264700
Kars,36,Digor,1279,"Digor, Kars",40.375083,43.414200
İzmir,35,Dikili,1280,"Dikili, İzmir",39.074900,26.889200
Sinop,57,Dikmen,1910,"Dikmen, Sinop",41.651167,35.263700
Kocaeli,41,Dilovası,2061,"Dilovası, Kocaeli",40.845844,29.580400
Afyonkarahisar,3,Dinar,1281,"Dinar, Afyonkarahisar",38.131228,30.297400
Sivas,58,Divriği,1282,"Divriği, Sivas",39.374885,38.118500
Ağrı,4,Diyadin,1283,"Diyadin, Ağrı",39.437676,43.686700
Diyarbakır,21,Diyarbakır Merkez,1284,"Diyarbakır Merkez, Diyarbakır",37.946055,40.182300
Çorum,19,Dodurga,1911,"Dodurga, Çorum",40.858764,34.808900
Konya,42,Doğanhisar,1285,"Doğanhisar, Konya",38.145955,31.676800
Giresun,28,Doğankent,1912,"Doğankent, Giresun",40.810153,38.916200
Sivas,58,Doğanşar,1913,"Doğanşar, Sivas",40.214034,37.537600
Malatya,44,Doğanşehir,1286,"Doğanşehir, Malatya",38.060794,37.893700
Malatya,44,Doğanyol,1914,"Doğanyol, Malatya",38.288619,39.047800
Kastamonu,37,Doğanyurt,1915,"Doğanyurt, Kastamonu",42.004299,33.460500
Ağrı,4,Doğubayazıt,1287,"Doğubayazıt, Ağrı",39.547074,44.068800
Kütahya,43,Domaniç,1288,"Domaniç, Kütahya",39.800999,29.612700
Bolu,14,Dörtdivan,1916,"Dörtdivan, Bolu",40.720766,32.062500
Hatay,31,Dörtyol,1289,"Dörtyol, Hatay",36.843358,36.221600
Antalya,7,Döşemealtı,2036,"Döşemealtı, Antalya",37.023026,30.601200
Kahramanmaraş,46,Dulkadiroğlu,2084,"Dulkadiroğlu, Kahramanmaraş",37.645281,37.040000
Kütahya,43,Dumlupınar,1790,"Dumlupınar, Kütahya",38.855200,29.976200
Sinop,57,Durağan,1290,"Durağan, Sinop",41.388223,35.238400
Balıkesir,10,Dursunbey,1291,"Dursunbey, Balıkesir",39.585671,28.627100
Düzce,81,Düzce Merkez,1292,"Düzce Merkez, Düzce",40.838720,31.162600
Osmaniye,80,Düziçi,1743,"Düziçi, Osmaniye",37.240179,36.453300
Trabzon,61,Düzköy,1917,"Düzköy, Trabzon",40.827357,39.370000
Çanakkale,17,Eceabat,1293,"Eceabat, Çanakkale",40.227660,26.348600
Edirne,22,Edirne Merkez,1295,"Edirne Merkez, Edirne",41.677130,26.555700
Balıkesir,10,Edremit / Balıkesir,1294,"Edremit / Balıkesir, Balıkesir",39.665542,26.843900
Van,65,Edremit / Van,1918,"Edremit / Van, Van",38.398456,43.236500
Aydın,9,Efeler,2076,"Efeler, Aydın",37.838016,27.845600
Karabük,78,Eflani,1296,"Eflani, Karabük",41.423130,32.958700
Diyarbakır,21,Eğil,1791,"Eğil, Diyarbakır",38.196566,40.055500
Isparta,32,Eğirdir,1297,"Eğirdir, Isparta",37.874067,30.850900
Kahramanmaraş,46,Ekinözü,1919,"Ekinözü, Kahramanmaraş",37.960563,37.083000
Elazığ,23,Elazığ Merkez,1298,"Elazığ Merkez, Elazığ",38.674816,39.222500
Kilis,79,Elbeyli,2023,"Elbeyli, Kilis",36.700283,37.446800
Kahramanmaraş,46,Elbistan,1299,"Elbistan, Kahramanmaraş",38.252212,37.382700
Çankırı,18,Eldivan,1300,"Eldivan, Çankırı",40.505368,33.513200
Ağrı,4,Eleşkirt,1301,"Eleşkirt, Ağrı",39.801400,42.676800
Ankara,6,Elmadağ,1302,"Elmadağ, Ankara",39.922129,33.226300
Antalya,7,Elmalı,1303,"Elmalı, Antalya",36.730472,29.881500
Kütahya,43,Emet,1304,"Emet, Kütahya",39.344413,29.257900
İstanbul,34,Eminönü,1305,"Eminönü, İstanbul",41.017222,28.971100
Afyonkarahisar,3,Emirdağ,1306,"Emirdağ, Afyonkarahisar",39.020200,31.151000
Konya,42,Emirgazi,1920,"Emirgazi, Konya",37.904083,33.836100
Edirne,22,Enez,1307,"Enez, Edirne",40.725024,26.084600
Tokat,60,Erbaa,1308,"Erbaa, Tokat",40.672726,36.571200
Van,65,Erciş,1309,"Erciş, Van",39.029069,43.359100
Balıkesir,10,Erdek,1310,"Erdek, Balıkesir",40.398320,27.791700
Mersin,33,Erdemli,1311,"Erdemli, Mersin",36.605819,34.310200
Konya,42,Ereğli / Konya,1312,"Ereğli / Konya, Konya",37.512316,34.048800
Zonguldak,67,Ereğli / Zonguldak,1313,"Ereğli / Zonguldak, Zonguldak",41.279909,31.420300
Sakarya,54,Erenler,2070,"Erenler, Sakarya",40.742686,30.458800
Sinop,57,Erfelek,1314,"Erfelek, Sinop",41.880095,34.909500
Diyarbakır,21,Ergani,1315,"Ergani, Diyarbakır",38.268035,39.761700
Tekirdağ,59,Ergene,2094,"Ergene, Tekirdağ",41.361927,26.917500
Karaman,70,Ermenek,1316,"Ermenek, Karaman",36.640261,32.892000
Siirt,56,Eruh,1317,"Eruh, Siirt",37.707582,42.002000
Hatay,31,Erzin,1792,"Erzin, Hatay",36.953839,36.205200
Erzincan,24,Erzincan Merkez,1318,"Erzincan Merkez, Erzincan",39.746797,39.491100
Erzurum,25,Erzurum Merkez,1319,"Erzurum Merkez, Erzurum",39.889801,41.265800
İstanbul,34,Esenler,2016,"Esenler, İstanbul",41.079413,28.853900
İstanbul,34,Esenyurt,2053,"Esenyurt, İstanbul",41.034318,28.661500
Aksaray,68,Eskil,1921,"Eskil, Aksaray",38.401758,33.412800
Karabük,78,Eskipazar,1321,"Eskipazar, Karabük",40.944500,32.532200
Eskişehir,26,Eskişehir Merkez,1322,"Eskişehir Merkez, Eskişehir",39.801074,30.481600
Uşak,64,Eşme,1323,"Eşme, Uşak",38.399880,28.971400
Giresun,28,Espiye,1320,"Espiye, Giresun",40.949744,38.708500
Ankara,6,Etimesgut,1922,"Etimesgut, Ankara",39.931035,32.650400
Afyonkarahisar,3,Evciler,1923,"Evciler, Afyonkarahisar",38.041831,29.885800
Ankara,6,Evren,1924,"Evren, Ankara",39.020236,33.805800
Giresun,28,Eynesil,1324,"Eynesil, Giresun",41.063048,39.141000
İstanbul,34,Eyüp,1325,"Eyüp, İstanbul",41.055000,28.934400
Şanlıurfa,63,Eyyübiye,2091,"Eyyübiye, Şanlıurfa",37.004948,39.029400
Çanakkale,17,Ezine,1326,"Ezine, Çanakkale",39.787126,26.335900
İstanbul,34,Fatih,1327,"Fatih, İstanbul",41.016864,28.947000
Ordu,52,Fatsa,1328,"Fatsa, Ordu",41.031231,37.500400
Adana,1,Feke,1329,"Feke, Adana",37.814467,35.910400
Kayseri,38,Felahiye,1330,"Felahiye, Kayseri",39.090096,35.567300
Sakarya,54,Ferizli,1925,"Ferizli, Sakarya",40.993671,30.486500
Muğla,48,Fethiye,1331,"Fethiye, Muğla",36.659246,29.126300
Rize,53,Fındıklı,1332,"Fındıklı, Rize",41.270661,41.140100
Antalya,7,Finike,1333,"Finike, Antalya",36.390988,30.112700
İzmir,35,Foça,1334,"Foça, İzmir",38.670378,26.757900
İzmir,35,Gaziemir,2009,"Gaziemir, İzmir",38.323122,27.138200
İstanbul,34,Gaziosmanpaşa,1336,"Gaziosmanpaşa, İstanbul",41.075948,28.900500
Antalya,7,Gazipaşa,1337,"Gazipaşa, Antalya",36.268562,32.314300
Kocaeli,41,Gebze,1338,"Gebze, Kocaeli",40.932911,29.534000
Kütahya,43,Gediz,1339,"Gediz, Kütahya",38.990736,29.395700
Isparta,32,Gelendost,1341,"Gelendost, Isparta",38.072879,31.033500
Çanakkale,17,Gelibolu,1340,"Gelibolu, Çanakkale",40.413985,26.670000
Sivas,58,Gemerek,1342,"Gemerek, Sivas",39.184872,36.071700
Bursa,16,Gemlik,1343,"Gemlik, Bursa",40.431820,29.155400
Bingöl,12,Genç,1344,"Genç, Bingöl",38.667597,40.807500
Batman,72,Gercüş,1345,"Gercüş, Batman",37.604074,41.301200
Bolu,14,Gerede,1346,"Gerede, Bolu",40.800325,32.193300
Adıyaman,2,Gerger,1347,"Gerger, Adıyaman",38.028856,39.032300
Aydın,9,Germencik,1348,"Germencik, Aydın",37.872648,27.601100
Sinop,57,Gerze,1349,"Gerze, Sinop",41.800599,35.192000
Van,65,Gevaş,1350,"Gevaş, Van",38.297800,43.105500
Sakarya,54,Geyve,1351,"Geyve, Sakarya",40.508635,30.290300
Giresun,28,Giresun Merkez,1352,"Giresun Merkez, Giresun",40.917532,38.392700
Çanakkale,17,Gökçeada,1408,"Gökçeada, Çanakkale",40.166924,25.839600
Zonguldak,67,Gökçebey,1926,"Gökçebey, Zonguldak",41.300983,32.201800
Kahramanmaraş,46,Göksun,1353,"Göksun, Kahramanmaraş",38.020382,36.494900
Adıyaman,2,Gölbaşı / Adıyaman,1354,"Gölbaşı / Adıyaman, Adıyaman",37.770876,37.596100
Ankara,6,Gölbaşı / Ankara,1744,"Gölbaşı / Ankara, Ankara",39.798293,32.805800
Kocaeli,41,Gölcük,1355,"Gölcük, Kocaeli",40.716752,29.819500
Ardahan,75,Göle,1356,"Göle, Ardahan",40.793352,42.609500
Burdur,15,Gölhisar,1357,"Gölhisar, Burdur",37.140808,29.507500
Ordu,52,Gölköy,1358,"Gölköy, Ordu",40.687727,37.617600
Manisa,45,Gölmarmara,1793,"Gölmarmara, Manisa",38.713913,27.918400
Sivas,58,Gölova,1927,"Gölova, Sivas",40.043289,38.597800
Bilecik,11,Gölpazarı,1359,"Gölpazarı, Bilecik",40.251799,30.297400
Düzce,81,Gölyaka,1794,"Gölyaka, Düzce",40.734872,30.988200
Balıkesir,10,Gömeç,1928,"Gömeç, Balıkesir",39.390933,26.840000
Balıkesir,10,Gönen / Balıkesir,1360,"Gönen / Balıkesir, Balıkesir",40.111696,27.643500
Isparta,32,Gönen / Isparta,1929,"Gönen / Isparta, Isparta",37.958890,30.512300
Manisa,45,Gördes,1362,"Gördes, Manisa",38.933029,28.288700
Giresun,28,Görele,1361,"Görele, Giresun",41.033277,39.002100
Amasya,5,Göynücek,1363,"Göynücek, Amasya",40.441795,35.529700
Bolu,14,Göynük,1364,"Göynük, Bolu",40.290212,30.803900
Giresun,28,Güce,1930,"Güce, Giresun",40.892977,38.807600
Şırnak,73,Güçlükonak,1931,"Güçlükonak, Şırnak",37.472115,41.912400
Ankara,6,Güdül,1365,"Güdül, Ankara",40.210512,32.245500
Aksaray,68,Gülağaç,1932,"Gülağaç, Aksaray",38.394343,34.346100
Mersin,33,Gülnar,1366,"Gülnar, Mersin",36.385125,33.303700
Nevşehir,50,Gülşehir,1367,"Gülşehir, Nevşehir",38.742565,34.619200
Ordu,52,Gülyalı,1795,"Gülyalı, Ordu",40.966824,38.056200
Amasya,5,Gümüşhacıköy,1368,"Gümüşhacıköy, Amasya",40.873622,35.215900
Gümüşhane,29,Gümüşhane Merkez,1369,"Gümüşhane Merkez, Gümüşhane",40.460825,39.480300
Düzce,81,Gümüşova,2017,"Gümüşova, Düzce",40.840595,30.912700
Antalya,7,Gündoğmuş,1370,"Gündoğmuş, Antalya",36.814942,31.999000
Denizli,20,Güney,1371,"Güney, Denizli",38.181221,28.999400
Konya,42,Güneysınır,1933,"Güneysınır, Konya",37.196916,32.673000
Rize,53,Güneysu,1796,"Güneysu, Rize",40.977728,40.612600
İstanbul,34,Güngören,2010,"Güngören, İstanbul",41.020546,28.874200
Eskişehir,26,Günyüzü,1934,"Günyüzü, Eskişehir",39.341845,31.856300
Ordu,52,Gürgentepe,1797,"Gürgentepe, Ordu",40.791420,37.600900
Bitlis,13,Güroymak,1798,"Güroymak, Bitlis",38.602811,42.101100
Van,65,Gürpınar,1372,"Gürpınar, Van",38.209894,43.563300
Bursa,16,Gürsu,1935,"Gürsu, Bursa",40.265886,29.220500
Sivas,58,Gürün,1373,"Gürün, Sivas",38.721349,37.271200
İzmir,35,Güzelbahçe,2018,"Güzelbahçe, İzmir",38.328636,26.879300
Aksaray,68,Güzelyurt,1861,"Güzelyurt, Aksaray",38.277528,34.372600
Nevşehir,50,Hacıbektaş,1374,"Hacıbektaş, Nevşehir",38.942929,34.560900
Kayseri,38,Hacılar,1936,"Hacılar, Kayseri",38.645982,35.452600
Konya,42,Hadim,1375,"Hadim, Konya",36.986063,32.455900
Sivas,58,Hafik,1376,"Hafik, Sivas",40.043434,37.353800
Hakkari,30,Hakkari Merkez,1377,"Hakkari Merkez, Hakkari",37.577427,43.736800
Şanlıurfa,63,Halfeti,1378,"Halfeti, Şanlıurfa",37.248236,37.868500
Şanlıurfa,63,Haliliye,2092,"Haliliye, Şanlıurfa",37.750639,39.312500
Konya,42,Halkapınar,1937,"Halkapınar, Konya",37.433643,34.186900
Amasya,5,Hamamözü,1938,"Hamamözü, Amasya",40.770072,35.080500
Ağrı,4,Hamur,1379,"Hamur, Ağrı",39.467236,43.110900
Eskişehir,26,Han,1939,"Han, Eskişehir",39.192737,30.781000
Ardahan,75,Hanak,1380,"Hanak, Ardahan",41.238176,42.776800
Diyarbakır,21,Hani,1381,"Hani, Diyarbakır",38.410449,40.391600
Kastamonu,37,Hanönü,1940,"Hanönü, Kastamonu",41.625403,34.463300
Bursa,16,Harmancık,1799,"Harmancık, Bursa",39.701291,29.115800
Şanlıurfa,63,Harran,1800,"Harran, Şanlıurfa",36.863131,39.024300
Osmaniye,80,Hasanbeyli,2027,"Hasanbeyli, Osmaniye",37.131723,36.553000
Batman,72,Hasankeyf,1941,"Hasankeyf, Batman",37.712806,41.415200
Muş,49,Hasköy,1801,"Hasköy, Muş",38.684263,41.690800
Hatay,31,Hassa,1382,"Hassa, Hatay",36.798635,36.522000
Hatay,31,Hatay Merkez,1383,"Hatay Merkez, Hatay",36.208680,36.163200
Balıkesir,10,Havran,1384,"Havran, Balıkesir",39.557790,27.100200
Edirne,22,Havsa,1385,"Havsa, Edirne",41.555006,26.843900
Samsun,55,Havza,1386,"Havza, Samsun",41.057972,35.734700
Ankara,6,Haymana,1387,"Haymana, Ankara",39.434232,32.495700
Tekirdağ,59,Hayrabolu,1388,"Hayrabolu, Tekirdağ",41.213450,27.106800
Trabzon,61,Hayrat,1942,"Hayrat, Trabzon",40.888814,40.367500
Diyarbakır,21,Hazro,1389,"Hazro, Diyarbakır",38.253757,40.780800
Malatya,44,Hekimhan,1390,"Hekimhan, Malatya",38.816525,37.930800
Rize,53,Hemşin,1943,"Hemşin, Rize",41.048202,40.899100
Sakarya,54,Hendek,1391,"Hendek, Sakarya",40.795053,30.744700
Şanlıurfa,63,Hilvan,1393,"Hilvan, Şanlıurfa",37.547514,38.945900
Erzurum,25,Hınıs,1392,"Hınıs, Erzurum",39.359643,41.709400
Kütahya,43,Hisarcık,1802,"Hisarcık, Kütahya",39.246528,29.235900
Bitlis,13,Hizan,1394,"Hizan, Bitlis",38.186430,42.527200
Afyonkarahisar,3,Hocalar,1944,"Hocalar, Afyonkarahisar",38.576673,29.969700
Denizli,20,Honaz,1803,"Honaz, Denizli",37.756960,29.264300
Artvin,8,Hopa,1395,"Hopa, Artvin",41.394618,41.419800
Erzurum,25,Horasan,1396,"Horasan, Erzurum",40.040049,42.168900
Tunceli,62,Hozat,1397,"Hozat, Tunceli",39.108025,39.218700
Konya,42,Hüyük,1804,"Hüyük, Konya",37.910851,31.582700
Antalya,7,İbradı,1946,"İbradı, Antalya",37.168457,31.491300
Şırnak,73,İdil,1403,"İdil, Şırnak",37.320116,41.794000
Iğdır,76,Iğdır Merkez,1398,"Iğdır Merkez, Iğdır",39.920060,44.043600
Kastamonu,37,İhsangazi,1805,"İhsangazi, Kastamonu",41.131603,33.559900
Afyonkarahisar,3,İhsaniye,1404,"İhsaniye, Afyonkarahisar",39.031881,30.416800
Ordu,52,İkizce,1947,"İkizce, Ordu",41.059805,37.080100
Rize,53,İkizdere,1405,"İkizdere, Rize",40.775235,40.562000
Çankırı,18,Ilgaz,1399,"Ilgaz, Çankırı",40.925238,33.627200
Konya,42,Ilgın,1400,"Ilgın, Konya",38.281724,31.914000
Erzincan,24,İliç,1406,"İliç, Erzincan",39.456484,38.564700
Samsun,55,İlkadım,2074,"İlkadım, Samsun",41.279703,36.336100
Adana,1,İmamoğlu,1806,"İmamoğlu, Adana",37.298444,35.609500
Sivas,58,İmranlı,1407,"İmranlı, Sivas",39.875358,38.112500
Kayseri,38,İncesu,1409,"İncesu, Kayseri",38.609227,35.258800
